KAYIT SIRA;ENDEKS KODU;ENDEKSLER;ENDEKSLERIN INGILIZCE ISIMLERI;KUR TURU;TARIH;KAPANIS;ACILIS;EN DUSUK;EN YUKSEK
ORDER;INDEX CODE;INDEX NAMES IN TURKISH;INDICES;CURRENCY TYPE;DATE;CLOSING VALUE;OPEN VALUE;LOWEST VALUE;HIGHEST VALUE
36;XTUMY_CFNNTLER;BIST TUM-100 GETIRI (EURO);BIST ALL SHARES-100 RETURN (EURO);EUR;17/02/2026;11769.95;11769.95;11769.95;11769.95
37;X100S_CFCNTLTL;BIST 100 AGIRLIK SINIRLAMALI 10 GETIRI;BIST 100 CAPPED 10 RETURN;TRY;17/02/2026;19597.89;19717.42;19597.89;19848.58
38;X100S_CFCNTLER;BIST 100 AGIRLIK SINIRLAMALI 10 GETIRI (EURO);BIST 100 CAPPED 10 RETURN (EURO);EUR;17/02/2026;2586.05;2586.05;2586.05;2586.05
39;X100S_CFCNTLUS;BIST 100 AGIRLIK SINIRLAMALI 10 GETIRI (ABD DOLARI);BIST 100 CAPPED 10 RETURN (USD);USD;17/02/2026;2612.5;2612.5;2612.5;2612.5
40;X100C_CFCNTLTL;BIST 100 AGIRLIK SINIRLAMALI 25 GETIRI;BIST 100 CAPPED 25 RETURN;TRY;17/02/2026;16466.11;16566.53;16466.11;16676.73
41;X100C_CFCNTLUS;BIST 100 AGIRLIK SINIRLAMALI 25 GETIRI (ABD DOLARI);BIST 100 CAPPED 25 RETURN (USD);USD;17/02/2026;2195.02;2195.02;2195.02;2195.02
42;X100C_CFCNTLER;BIST 100 AGIRLIK SINIRLAMALI 25 GETIRI (EURO);BIST 100 CAPPED 25 RETURN (EURO);EUR;17/02/2026;2172.79;2172.79;2172.79;2172.79
43;X030S_CFCNTLTL;BIST 30 AGIRLIK SINIRLAMALI 10 GETIRI;BIST 30 CAPPED 10 RETURN;TRY;17/02/2026;22433.6;22673.22;22433.6;22792.94
44;X030S_CFCNTLUS;BIST 30 AGIRLIK SINIRLAMALI 10 GETIRI (ABD DOLARI);BIST 30 CAPPED 10 RETURN (USD);USD;17/02/2026;2990.52;2990.52;2990.52;2990.52
45;X030S_CFCNTLER;BIST 30 AGIRLIK SINIRLAMALI 10 GETIRI (EURO);BIST 30 CAPPED 10 RETURN (EURO);EUR;17/02/2026;2960.23;2960.23;2960.23;2960.23
46;X030C_CFCNTLTL;BIST 30 AGIRLIK SINIRLAMALI 25 GETIRI;BIST 30 CAPPED 25 RETURN;TRY;17/02/2026;18360.4;18556.11;18360.4;18655.56
47;X030C_CFCNTLUS;BIST 30 AGIRLIK SINIRLAMALI 25 GETIRI (ABD DOLARI);BIST 30 CAPPED 25 RETURN (USD);USD;17/02/2026;2447.54;2447.54;2447.54;2447.54
48;X030C_CFCNTLER;BIST 30 AGIRLIK SINIRLAMALI 25 GETIRI (EURO);BIST 30 CAPPED 25 RETURN (EURO);EUR;17/02/2026;2422.75;2422.75;2422.75;2422.75
49;X030EA;BIST 30 ESIT AGIRLIKLI GETIRI;BIST 30 EQUAL WEIGHTED RETURN;TRY;17/02/2026;31752.25;32054.18;31710.25;32200.56
50;X030EA_CFENTLUS;BIST 30 ESIT AGIRLIKLI GETIRI (ABD DOLARI);BIST 30 EQUAL WEIGHTED RETURN (USD);USD;17/02/2026;4232.75;4232.75;4232.75;4232.75
51;X030EA_CFENTLER;BIST 30 ESIT AGIRLIKLI GETIRI (EURO);BIST 30 EQUAL WEIGHTED RETURN (EURO);EUR;17/02/2026;4189.88;4189.88;4189.88;4189.88
52;XK030EA;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI;BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN;TRY;17/02/2026;11343.1;11471.95;11330.52;11471.95
53;XK030EA_CFENTLUS;BIST KATILIM 30 ESIT AGIRLIKLI GETIRI (ABD DOLARI);BIST PARTICIPATION 30 EQUAL WEIGHTED RETURN (USD);USD;17/02/2026;1512.1;1512.1;1512.1;1512.1
