entry_date,exit_date,tickers,ret,equity
2019-02-07,2019-02-14,"AVOD,KOZAA,TUKAS,KARSN,NIBAS",0.0023944392927305463,1.2558326929818986
2019-02-14,2019-02-21,"ADESE,BERA,TUKAS,KRDMD,ODAS",0.045395390121886196,1.312841708007631
2019-02-21,2019-02-28,"TUKAS,GEREL,TTKOM,FORMT,CEMAS",0.07584416506252782,1.4124130912107327
2019-02-28,2019-03-07,"TUKAS,VESTL,IEYHO,TIRE,IHLGM",-0.12574863565969874,1.2348040720030855
2019-03-07,2019-03-14,"ISGSY,IEYHO,DOHOL,AVOD,VESTL",0.09131253383447518,1.3475571606068149
2019-03-14,2019-03-21,"SOKM,ALBRK,KLGYO,VESTL,VESBE",0.03332857913499752,1.3924693260730316
2019-03-21,2019-03-28,"ISFIN,VESTL,TAVHL,KAREL,POLHO",-0.05316466855954092,1.3184391558730315
2019-04-25,2019-05-03,"KLNMA,GEREL,IEYHO,IHLAS,GSRAY",0.030776490226488228,1.3590160856679772
2019-05-03,2019-05-10,"TIRE,SASA,HLGYO,IHGZT,DGATE",-0.08183372742796009,1.2478027337432105
2019-06-17,2019-06-24,"TUKAS,PGSUS,KOZAA,DENGE,ALARK",-0.0008705669651420387,1.2467164379041997
2019-06-24,2019-07-01,"POLHO,TUKAS,PETKM,PARSN,IPEKE",-0.0012600750363333676,1.2451454816434102
2019-07-01,2019-07-08,"PGSUS,PARSN,AKGUV,VESTL,ISCTR",0.010832401467219178,1.2586333973856656
2019-07-08,2019-07-16,"ISCTR,VAKBN,IPEKE,KOZAA,TUKAS",-0.04110005189670801,1.206903499434185
2019-07-16,2019-07-23,"KERVT,KATMR,VESTL,VAKBN,TUKAS",0.04943673033267645,1.2665688622732763
2019-07-22,2019-07-29,"PGSUS,KERVT,YATAS,YKBNK,TTKOM",0.004295949122667231,1.2720099776659568
2019-07-29,2019-08-05,"YATAS,KERVT,KATMR,TTKOM,YKBNK",-0.0647665311001835,1.1896263038877108
2019-08-05,2019-08-15,"ARCLK,IHLGM,ISFIN,ASUZU,KAREL",0.02396483787147469,1.2181355053880216
2019-08-15,2019-08-22,"MGROS,KOZAA,GLYHO,SISE,OYAYO",-0.00292538593722876,1.2145719889109203
2019-08-19,2019-08-26,"KOZAA,PGSUS,GLYHO,MGROS,KAREL",0.0079091040418135,1.2241781651374892
2019-08-26,2019-09-03,"PGSUS,ODAS,DGATE,GLYHO,IHEVA",0.018758031191591383,1.2471413373432034
2019-09-03,2019-09-10,"ALARK,PGSUS,GUSGR,VAKKO,KAREL",-0.010288695529854067,1.234309879840584
2019-09-10,2019-09-17,"PRKME,DOAS,GUSGR,ADESE,VAKKO",0.04972579602849819,1.2956869211614972
2019-09-17,2019-09-24,"FENER,BNTAS,GSRAY,KLNMA,GEREL",0.002099030640924558,1.2984066077100604
2019-09-24,2019-10-01,"FENER,PARSN,NETAS,KLNMA,TKNSA",0.0410239207561993,1.3516723374940836
